feed,kill,steps,size,patch_radius,profiles,active_span,edge_span,active_winner_profile,active_loser_profile,center_active_fraction,double_active_fraction,ring_active_fraction,center_edge_density,double_edge_density,ring_edge_density,center_peak_v,double_peak_v,ring_peak_v
0.014,0.051,1400,40,5,"center,double,ring",0.0,1.3058910864897834e-19,center,center,0.0,0.0,0.0,9.681305718096793e-32,3.8386944513377326e-25,1.3058910864907514e-19,8.404704479374662e-30,1.0833180770852331e-22,1.4661220356812175e-17
0.018,0.051,1400,40,5,"center,double,ring",0.0,2.5541248505435136e-20,center,center,0.0,0.0,0.0,1.1214213365802036e-32,3.3708431993354855e-23,2.5541248505446352e-20,8.192651450089114e-31,2.263042192303078e-21,3.247552152351889e-18
0.022,0.051,1400,40,5,"center,double,ring",0.20249999999999996,0.014298642078987372,ring,double,0.455,0.3975,0.6,0.02463236139202896,0.010333719313041587,0.022908086198793868,0.3903495885623482,0.2479539052753833,0.3970589276457217
0.026,0.051,1400,40,5,"center,double,ring",0.985625,0.003598261522454961,center,double,1.0,0.014375,1.0,0.0002232337224933075,0.003672200222470988,7.39387000160267e-05,0.23880162091724283,0.2566029473062406,0.18189802906565467
0.03,0.051,1400,40,5,"center,double,ring",0.0,9.173114922572667e-08,center,center,1.0,1.0,1.0,1.073386268818019e-07,1.6560390801324126e-07,7.387275878751459e-08,0.2507368524431106,0.2507274087817942,0.2507085814763345
0.014,0.054,1400,40,5,"center,double,ring",0.11125,0.01376370260322991,ring,center,0.0,0.0,0.11125,4.207489874797328e-25,7.902266701675618e-41,0.01376370260322991,8.664317580374134e-23,3.705513293226734e-38,0.43808401041591405
0.018,0.054,1400,40,5,"center,double,ring",0.16125000000000003,0.005670073007443429,center,double,0.358125,0.196875,0.2225,0.022867438931170693,0.01838207814551305,0.017197365923727264,0.34471417574318974,0.35397092528117774,0.3567722971742882
0.022,0.054,1400,40,5,"center,double,ring",0.16375,0.01200933127569586,ring,center,0.315625,0.4025,0.479375,0.01614642146947823,0.028155752745174092,0.01991506528026267,0.29016152830256947,0.4327464764357682,0.3338283588736436
0.026,0.054,1400,40,5,"center,double,ring",0.645625,0.02535406204077318,ring,double,0.5925,0.0,0.645625,0.025354062041020323,2.4714403759401344e-13,0.02424121717832122,0.3683206030782389,1.2827429760703213e-11,0.3880101487512311
0.03,0.054,1400,40,5,"center,double,ring",1.0,0.012167578856355403,double,center,0.0,1.0,0.194375,0.0017696088773679986,0.0005914838282462751,0.012759062684601679,0.14678598866425913,0.23453840817069632,0.4114294485897661
0.014,0.057,1400,40,5,"center,double,ring",0.0,1.8316081481676483e-43,center,center,0.0,0.0,0.0,2.0617772363262347e-43,2.5770135882715404e-44,2.301690881585863e-44,3.005186351146092e-41,6.39039335829483e-42,3.265004252715679e-42
0.018,0.057,1400,40,5,"center,double,ring",0.10625,0.015565210247887398,ring,center,0.0,0.0,0.10625,4.267676884587427e-13,1.536928512858785e-44,0.015565210247887398,2.2754451207635895e-11,3.9347565531703025e-42,0.3165019577072863
0.022,0.057,1400,40,5,"center,double,ring",0.101875,0.01073049298275026,center,double,0.344375,0.2425,0.281875,0.028714004367596906,0.017983511384846645,0.026102813569050566,0.3426749411581199,0.34590844430676515,0.345574268055357
0.026,0.057,1400,40,5,"center,double,ring",0.12687499999999996,0.0035270338562032426,ring,center,0.36125,0.44,0.488125,0.025183896257982764,0.028710930114186007,0.028564056496076056,0.3113084144575691,0.32698109832350003,0.33389094804757435
0.03,0.057,1400,40,5,"center,double,ring",0.0068750000000000755,0.0014905099873536339,center,ring,0.5925,0.588125,0.585625,0.025330588241847002,0.026688598453261783,0.02519808846590815,0.3251352156719906,0.3311928384591379,0.3190511278925505
0.014,0.06,1400,40,5,"center,double,ring",0.0,1.6048417822042453e-47,center,center,0.0,0.0,0.0,3.668416470572197e-47,4.019134733961356e-47,2.4142929517571105e-47,4.844256064444196e-45,8.770549196239271e-45,3.2625765324821275e-45
0.018,0.06,1400,40,5,"center,double,ring",0.0,7.925244412375109e-49,center,center,0.0,0.0,0.0,1.169946687292456e-48,8.368876564061645e-49,3.77422246054945e-49,1.4913058504867072e-46,1.772770653992007e-46,4.940784111991415e-47
0.022,0.06,1400,40,5,"center,double,ring",0.203125,0.021507004282725325,center,double,0.203125,0.0,0.0,0.021507004282725325,1.2526783831708349e-49,3.81697341763714e-50,0.33145063948499304,2.5334835987128834e-47,4.6887860037281134e-48
0.026,0.06,1400,40,5,"center,double,ring",0.06687499999999999,0.011662370161495633,ring,double,0.229375,0.228125,0.295,0.022699070023499787,0.01479113593074449,0.026453506092240123,0.3324772861367943,0.29256224268851866,0.3292738833613837
0.03,0.06,1400,40,5,"center,double,ring",0.028749999999999998,0.002086494498672719,ring,center,0.368125,0.390625,0.396875,0.02828429368735281,0.02630639514466618,0.02619779918868009,0.3585511389866276,0.3304568997031029,0.35251822359431684
0.014,0.063,1400,40,5,"center,double,ring",0.0,3.029459902992537e-50,center,center,0.0,0.0,0.0,7.73634882181628e-50,1.0765808724808817e-49,8.027348016017402e-50,9.93175814621695e-48,2.288153952175258e-47,1.0609466328977634e-47
0.018,0.063,1400,40,5,"center,double,ring",0.0,3.699769159857631e-52,center,center,0.0,0.0,0.0,6.040159053971776e-52,9.401721296222655e-52,5.701952136365024e-52,7.560551328040359e-50,1.942715414305455e-49,7.377000443332388e-50
0.022,0.063,1400,40,5,"center,double,ring",0.0,7.39679595214512e-54,center,center,0.0,0.0,0.0,6.869436643052256e-54,1.262340104109204e-53,5.22660508894692e-54,8.329258662199706e-52,2.5147580309833553e-51,6.5917729936713445e-52
0.026,0.063,1400,40,5,"center,double,ring",0.0,3.648078490185969e-55,center,center,0.0,0.0,0.0,1.8997146837423753e-55,4.435537919120446e-55,7.874594289344768e-56,2.1960536868449075e-53,8.366822084626056e-53,9.594251659782496e-54
0.03,0.063,1400,40,5,"center,double,ring",0.21,0.020922574264895424,center,double,0.21,0.0,0.0,0.020922574264895424,1.9741088507304805e-54,5.107759710644246e-57,0.3521522994061797,2.789422092040303e-52,5.8439379992948424e-55
